Menu Name,Category,Ingredient/Step,Amount
ข้าวเกรียบปากหม้อ,ส่วนผสมกะทิราด,แป้งข้าวเจ้า,1 ช้อนชา
ข้าวเกรียบปากหม้อ,ส่วนผสมกะทิราด,เกลือป่น,1/8 ช้อนชา
ข้าวเกรียบปากหม้อ,เครื่องเคียง,ผักกาดหอม,-
ข้าวเกรียบปากหม้อ,เครื่องเคียง,พริกสด,-
ข้าวเกรียบปากหม้อ,เครื่องเคียง,กระเทียมเจียว,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,มะละกอดิบสับ,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,ถั่วฝักยาว,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,มะเขือเทศ,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,พริกขี้หนู,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,กระเทียม,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,น้ำปลา,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,น้ำมะนาว,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,น้ำตาลปี๊บ,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,กุ้งแห้ง,-
ส้มตำไทยกระทงทอง,วัตถุดิบหลัก,ถั่วลิสง,-
ส้มตำไทยกระทงทอง,ส่วนผสมกระทงทอง,แผ่นเกี้ยว,-
ส้มตำไทยกระทงทอง,ส่วนผสมกระทงทอง,น้ำมัน,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,ข้าวโพดหวานสุก,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,ถั่วฝักยาว,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,มะเขือเทศ,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,พริกขี้หนู,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,กระเทียม,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,น้ำปลา,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,น้ำมะนาว,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,น้ำตาลปี๊บ,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,กุ้งแห้ง,-
ส้มตำข้าวโพดกระทงทอง,วัตถุดิบหลัก,ถั่วลิสง,-
ส้มตำข้าวโพดกระทงทอง,ส่วนผสมกระทงทอง,แผ่นเกี้ยว,-
ส้มตำข้าวโพดกระทงทอง,ส่วนผสมกระทงทอง,น้ำมัน,-
บัวลอย 5 สี,ส่วนผสมแป้งอัญชัน,แป้งข้าวเหนียว,1 ถ้วยตวง
บัวลอย 5 สี,ส่วนผสมแป้งอัญชัน,แป้งมัน,1 ช้อนโต๊ะพูนๆ
บัวลอย 5 สี,ส่วนผสมแป้งอัญชัน,น้ำอัญชันเข้มข้น,น้ำเปล่า 300 ml.+ดอกอัญชันแห้ง 2 ช้อนโต๊ะ
บัวลอย 5 สี,ส่วนผสมแป้งใบเตย,แป้งข้าวเหนียว,1 ถ้วยตวง
บัวลอย 5 สี,ส่วนผสมแป้งใบเตย,แป้งมัน,1 ช้อนโต๊ะพูนๆ
บัวลอย 5 สี,ส่วนผสมแป้งใบเตย,น้ำใบเตยเข้มข้น,น้ำเปล่า 200 ml.+ใบเตย 6 ใบ
บัวลอย 5 สี,ส่วนผสมแป้งฟักทอง,แป้งข้าวเหนียว,1/2 ถ้วยตวง
บัวลอย 5 สี,ส่วนผสมแป้งฟักทอง,แป้งมัน,1 ช้อนโต๊ะพูนๆ
บัวลอย 5 สี,ส่วนผสมแป้งฟักทอง,ฟักทอง (ก่อนนึ่ง),100 กรัม
บัวลอย 5 สี,ส่วนผสมแป้งเผือก,แป้งข้าวเหนียว,1/2 ถ้วยตวง
บัวลอย 5 สี,ส่วนผสมแป้งเผือก,เผือกหอม (ก่อนนึ่ง),100 กรัม
บัวลอย 5 สี,ส่วนผสมแป้งเผือก,สีผสมอาหารสีม่วง,ตามชอบ
บัวลอย 5 สี,ส่วนผสมแป้งเผือก,น้ำร้อนจัด,สำหรับนวดแป้ง
บัวลอย 5 สี,ส่วนผสมแป้งสีขาว,แป้งข้าวเหนียว,1 ถ้วยตวง
บัวลอย 5 สี,ส่วนผสมแป้งสีขาว,แป้งมัน,1 ช้อนโต๊ะพูนๆ
บัวลอย 5 สี,ส่วนผสมแป้งสีขาว,น้ำร้อนจัด,สำหรับนวดแป้ง
บัวลอย 5 สี,ส่วนผสมน้ำกะทิ,หัวกะทิ,1000 ml.
บัวลอย 5 สี,ส่วนผสมน้ำกะทิ,น้ำมะพร้าว,600 ml.
บัวลอย 5 สี,ส่วนผสมน้ำกะทิ,น้ำตาลทราย,320 กรัม
บัวลอย 5 สี,ส่วนผสมน้ำกะทิ,เกลือป่น,2 ช้อนชา
บัวลอย 5 สี,ส่วนผสมน้ำกะทิ,เนื้อมะพร้าวอ่อน,3-4 ลูก
บัวลอย 5 สี,ส่วนผสมน้ำกะทิ,ใบเตยมัด,-
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดใบเตย),น้ำตาลมะพร้าว,200 กรัม
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดใบเตย),เกลือ,1/2 ช้อนชา
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดใบเตย),กะทิ,500 มล.
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดใบเตย),ใบเตย,1 ใบ
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดอัญชัน),น้ำตาลมะพร้าว,200 กรัม
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดอัญชัน),เกลือ,1/2 ช้อนชา
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดอัญชัน),กะทิ,500 มล.
ลอดช่องอัญชันใบเตย,ส่วนผสมน้ำกะทิ (ชุดอัญชัน),ดอกอัญชัญ,50 กรัม
ลอดช่องอัญชันใบเตย,ส่วนผสมตัวลอดช่อง (ต่อ 1 สี),ใบเตย/ดอกอัญชัญ,-
ลอดช่องอัญชันใบเตย,ส่วนผสมตัวลอดช่อง (ต่อ 1 สี),น้ำปูนใส,"950 กรัม (น้ำเปล่า 1000 มล. + ปูนแดง 2 ช้อนโต๊ะ)"
ลอดช่องอัญชันใบเตย,ส่วนผสมตัวลอดช่อง (ต่อ 1 สี),แป้งข้าวเจ้า,120 กรัม
ลอดช่องอัญชันใบเตย,ส่วนผสมตัวลอดช่อง (ต่อ 1 สี),แป้งมัน,45 กรัม
ลอดช่องอัญชันใบเตย,ส่วนผสมตัวลอดช่อง (ต่อ 1 สี),แป้งถั่วเขียว,45 กรัม
ลอดช่องอัญชันใบเตย,เครื่องเคียง,มะพร้าวอ่อน,-
ลอดช่องอัญชันใบเตย,เครื่องเคียง,ขนุน,-
ทับทิมกรอบ,ส่วนผสมตัวทับทิมกรอบ,แห้วหั่นเต๋า,300-500 กรัม
ทับทิมกรอบ,ส่วนผสมตัวทับทิมกรอบ,สีผสมอาหารสีแดง/น้ำหวานเฮลซ์บลูบอย,ตามเหมาะสม
ทับทิมกรอบ,ส่วนผสมตัวทับทิมกรอบ,แป้งมันสำปะหลัง,110 กรัม
ทับทิมกรอบ,ส่วนผสมน้ำกะทิ,กะทิ,400 กรัม
ทับทิมกรอบ,ส่วนผสมน้ำกะทิ,น้ำตาลทราย,80 กรัม
ทับทิมกรอบ,ส่วนผสมน้ำกะทิ,เกลือ,1/2 ช้อนชา (3 กรัม)
ทับทิมกรอบ,ส่วนผสมน้ำกะทิ,น้ำ,1/2 ถ้วยตวง (110 กรัม)
ทับทิมกรอบ,ส่วนผสมน้ำกะทิ,ใบเตย,3 ใบ (15 กรัม)
ทับทิมกรอบ,เครื่องเคียง,ขนุน,-
ทับทิมกรอบ,เครื่องเคียง,น้ำแข็งป่น,-
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีแดง,แป้งข้าวเหนียว,200 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีแดง,น้ำ,100 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีแดง,น้ำแดง,80 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีฟ้า,แป้งข้าวเหนียว,200 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีฟ้า,น้ำอัญชัน,180 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีเขียว,แป้งข้าวเหนียว,200 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมแป้งสีเขียว,น้ำใบเตย,180 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมไส้,น้ำตาลปี๊บ,350 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมไส้,มะพร้าวขูด,500 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมไส้,น้ำ,50 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมมะพร้าวคลุก,มะพร้าวขูด,400 กรัม
ขนมต้มไทยโบราณ,ส่วนผสมมะพร้าวคลุก,เกลือ,3/4 ช้อนชา
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,แป้งมันสำปะหลัง,340 กรัม
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,แป้งข้าวจ้าว,85 กรัม
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,แป้งท้าว,60 กรัม
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,น้ำตาลทราย,400 กรัม
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,เกลือ,1 ช้อนชา (6 กรัม)
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,หัวกะทิ,500 กรัม
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,น้ำอัญชัน,115 กรัม
ขนมชั้นอัญชัน,ส่วนผสมตัวขนมชั้น,น้ำสะอาด,315 กรัม
ขนมชั้นอัญชัน,อุปกรณ์และอื่นๆ,น้ำมันทาพิมพ์,1 ช้อนโต๊ะ
ขนมชั้นอัญชัน,เทคนิคการทำ,ปริมาณแป้งต่อชั้น,ตักชั้นละ 3/4 ถ้วยตวง
ขนมชั้นอัญชัน,เทคนิคการทำ,การนึ่ง,"ฝาหม้อห่อผ้า, นึ่ง 4 นาทีต่อรอบ"
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,แป้งมันสำปะหลัง,340 กรัม
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,แป้งข้าวจ้าว,85 กรัม
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,แป้งท้าว,60 กรัม
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,น้ำตาลทราย,400 กรัม
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,เกลือ,1 ช้อนชา (6 กรัม)
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,หัวกะทิ,500 กรัม
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,น้ำใบเตย,115 กรัม
ขนมชั้นใบเตย,ส่วนผสมตัวขนมชั้น,น้ำสะอาด,315 กรัม
ขนมชั้นใบเตย,อุปกรณ์และอื่นๆ,น้ำมันทาพิมพ์,1 ช้อนโต๊ะ
ขนมชั้นใบเตย,เทคนิคการทำ,ปริมาณแป้งต่อชั้น,ตักชั้นละ 3/4 ถ้วยตวง
ขนมชั้นใบเตย,เทคนิคการทำ,การนึ่ง,"ฝาหม้อห่อผ้า, นึ่ง 4 นาทีต่อรอบ"
วุ้นกะทิใบเตย,ส่วนผสมวุ้นใบเตย,น้ำต้มใบเตย,"1000 ml. (น้ำเปล่า 1250 ml. ต้มใบเตย 4-5 ใบ)"
วุ้นกะทิใบเตย,ส่วนผสมวุ้นใบเตย,ผงวุ้น,"1 ช้อนโต๊ะ + 1/2 ช้อนโต๊ะ"
วุ้นกะทิใบเตย,ส่วนผสมวุ้นใบเตย,น้ำตาลทรายขาว,300 กรัม
วุ้นกะทิใบเตย,ส่วนผสมวุ้นใบเตย,น้ำใบเตยเข้มข้น,"250 กรัม (ใบเตย 40 กรัม ปั่นน้ำเปล่า 350 ml.)"
วุ้นกะทิใบเตย,ส่วนผสมวุ้นกะทิ,น้ำเปล่า,250 ml.
วุ้นกะทิใบเตย,ส่วนผสมวุ้นกะทิ,ผงวุ้น,"1 ช้อนโต๊ะ + 1/2 ช้อนโต๊ะ"
วุ้นกะทิใบเตย,ส่วนผสมวุ้นกะทิ,หัวกะทิ,1000 ml.
วุ้นกะทิใบเตย,ส่วนผสมวุ้นกะทิ,น้ำตาลทรายขาว,300 กรัม
วุ้นกะทิใบเตย,ส่วนผสมวุ้นกะทิ,เกลือป่น,"1 ช้อนชา + 1/2 ช้อนชา"
วุ้นกะทิใบเตย,เทคนิคการทำ,การแช่ผงวุ้น,ต้องแช่ผงวุ้นในน้ำ 10-15 นาที เพื่อให้วุ้นอิ่มน้ำ
วุ้นกะทิใบเตย,เทคนิคการทำ,การเคี่ยววุ้น,ต้องเคี่ยวจนวุ้นละลายดี ไม่ติดขอบหม้อ ไม่ติดทัพพี วุ้นจะไม่คายน้ำ
วุ้นกะทิใบเตย,เทคนิคการทำ,การต้มวุ้นกะทิ,อย่าใช้ไฟแรงและต้มกะทิแค่พอร้อน เดือดขอบหม้อ
วุ้นกะทิใบเตย,เทคนิคการทำ,การพักวุ้น,พักวุ้นไว้ 1-2 ชม.จนวุ้นเซ็ตตัวดี ตัดแบ่งเป็นชิ้น
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นอัญชัน,น้ำต้มอัญชัน,"1000 ml. (น้ำเปล่า 1250 ml. ต้มดอกอัญชัน)"
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นอัญชัน,ผงวุ้น,"1 ช้อนโต๊ะ + 1/2 ช้อนโต๊ะ"
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นอัญชัน,น้ำตาลทรายขาว,300 กรัม
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นอัญชัน,น้ำอัญชันเข้มข้น,"250 กรัม (ดอกอัญชันปั่นน้ำเปล่า 350 ml.)"
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นอัญชัน,เนื้อมะพร้าวอ่อน,ตามเหมาะสม
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นกะทิ,น้ำเปล่า,250 ml.
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นกะทิ,ผงวุ้น,"1 ช้อนโต๊ะ + 1/2 ช้อนโต๊ะ"
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นกะทิ,หัวกะทิ,1000 ml.
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นกะทิ,น้ำตาลทรายขาว,300 กรัม
วุ้นกะทิอัญชันมะพร้าวอ่อน,ส่วนผสมวุ้นกะทิ,เกลือป่น,"1 ช้อนชา + 1/2 ช้อนชา"
วุ้นกะทิอัญชันมะพร้าวอ่อน,เทคนิคการทำ,การแช่ผงวุ้น,ต้องแช่ผงวุ้นในน้ำ 10-15 นาที เพื่อให้วุ้นอิ่มน้ำ
วุ้นกะทิอัญชันมะพร้าวอ่อน,เทคนิคการทำ,การเคี่ยววุ้น,ต้องเคี่ยวจนวุ้นละลายดี ไม่ติดขอบหม้อ ไม่ติดทัพพี วุ้นจะไม่คายน้ำ
วุ้นกะทิอัญชันมะพร้าวอ่อน,เทคนิคการทำ,การต้มวุ้นกะทิ,อย่าใช้ไฟแรงและต้มกะทิแค่พอร้อน เดือดขอบหม้อ
วุ้นกะทิอัญชันมะพร้าวอ่อน,เทคนิคการทำ,การพักวุ้น,พักวุ้นไว้ 1-2 ชม.จนวุ้นเซ็ตตัวดี ตัดแบ่งเป็นชิ้น
